11001,31.9,-17.1
11016,32.7,-19.4
11046,30.5,-17.1
11061,33.3,-24.6
11076,32.7,-27.2
11091,31.8,-16.6
11121,32.4,-34.4
11151,32.5,-16.9
11176,33.1,-28.8
11206,33.6,-27.4
11276,35.8,-35.9
11291,35,-26.4
11316,35.4,-37.9
12011,36.2,-35.6
12041,36.6,-34.9
12141,36.6,-37
12181,36.4,-35.7
12231,37.3,-36.1
12261,37,-35.1
12266,37.2,-29
12301,36.8,-36.8
12386,38.4,-38.1
12396,36.9,-31.4
12411,35.1,-28.6
12442,37.9,-41
12451,37,-29.3
12501,36.1,-28.5
12512,35.3,-30
12551,37.1,-33.2
12596,37.5,-31.7
12626,38.5,-34.5
12632,37.4,-31.9
12691,35,-33.4
12746,34.6,-35.8
15041,34.9,-35.8
15076,37.3,-37.6
13061,33.8,-30.6
13086,34.2,-26.8
13121,33.8,-27.7
13146,32.4,-14.8
13181,34.4,-26.4
13261,38.7,-30
13277,35.6,-23.4
13311,34.2,-17.4
13321,35.9,-35.4
14026,34.6,-21.5
14071,36.1,-24.1
14101,35.5,-27
14116,37.1,-20.9
14121,35.4,-23.1
14136,35.6,-26.6
14163,36.3,-28.5
14206,34.5,-26.9
14286,32,-18.2
14296,34.2,-25.4
15116,36.9,-29.7
15156,35.1,-29.9
15161,36.1,-29.7
15231,36.8,-30.2
15241,36,-27.2
15251,37.2,-26.3
15311,36.3,-25.6
15321,35.6,-29.6
15356,36.1,-24.3
15431,36.3,-28.7
15442,35,-23.6
16026,35.2,-17.8
16061,33.5,-13.8
16076,34.9,-21.5
16091,36.2,-18
16156,35,-17.8
16206,35.4,-24.7
16217,34.6,-35.7
16252,34,-15.7
16281,32.3,-22.1
16286,34.5,-31.9
16321,34.5,-27.8
17036,35.3,-27.5
17076,34.3,-29.8
17091,36.4,-33.2
17112,37,-24.7
17116,37.2,-23.9
17166,38.5,-27.6
17196,37.7,-35.2
17246,36.9,-31.2
17306,37.7,-29.5
17316,39.5,-35.4
17341,37.6,-29.2
17351,35.3,-20.9
17482,34.1,-24.2
17501,37,-33.8
17521,39,-30.9
17531,37.7,-27
17546,37.8,-32.8
17561,37.1,-31.6
17596,37.6,-28.7
17607,38,-30.3
17631,38.3,-31.2
17717,38.4,-28.7
18038,33,-17.3
18136,36.4,-31.5
18161,35.6,-25.2
18171,36.5,-32.9
18174,36.8,-29.6
18256,36.6,-33.7
18273,34,-22.9
18281,33.5,-19.6
18311,34.9,-27.6
19021,36.6,-34
19051,35.7,-26.7
19076,35.5,-30.7
19151,35.2,-29.5
19191,35.1,-27.2
19261,36.6,-28.8
19311,35.5,-26
19347,35.6,-22.7
19376,34.9,-24.2
19416,35.5,-29.2
19432,33.5,-28.3
19451,31.5,-17.8
20146,37.8,-33.2
20186,34.5,-30.8
20266,37.2,-25.9
20276,38.8,-29.4
20341,37.2,-29.1
20356,37.3,-28.3
20361,37.4,-26.3
20371,38.2,-32.1
20421,38.1,-31.3
20432,38.8,-38.2
20441,38.8,-28.4
20506,37.9,-26.8
20551,37.8,-29.6
20556,38.4,-31.8
20601,36.7,-29.4
20606,38,-29
20631,36.9,-27.7
20696,36.3,-29.8
20751,35.8,-22.1
21111,34.4,-27.5
21126,34.8,-30.3
21161,33.1,-24.9
21171,33.8,-21.1
21187,35.5,-21.3
21226,33.6,-20.6
21261,33.8,-20.8
21276,33.5,-26.7
21297,33.5,-16.7
21312,34.3,-19.4
21323,32.8,-13.4
22036,35.8,-27.8
22141,32.2,-23.4
22156,36,-29.2
22241,33.9,-19.8
22291,33.4,-25.9
22306,33.8,-26.7
22327,31.5,-15.5
22391,28.5,-12.1
23031,32.6,-20.5
23086,34.1,-19
23166,33.6,-18.8
23206,33.4,-14.6
23226,34.5,-19.6
23232,35.4,-21.7
23281,33.1,-18.2
23326,34.2,-15.6
23376,34.2,-11.6
24141,33.5,-13.7
24041,32.8,-16.2
24051,34.8,-21.9
24101,32.8,-11
24156,32.7,-13
24201,35,-24.8
24217,34.6,-12.7
31001,32.9,-10.7
31111,35.3,-22.4
31121,34.9,-16
31136,33.7,-11.2
31156,34.7,-15.1
31186,37.2,-16.4
31201,34.6,-16.2
31296,39,-15.8
31312,36.7,-24.7
31332,35.6,-12.3
31336,34.8,-12.6
31366,36.9,-10.9
31386,35.7,-17.7
31436,37.9,-10.5
31461,39.3,-16.2
31466,36.4,-18.3
31482,30.8,-18
31506,37,-14.2
31586,35.8,-20.1
31602,37,-15.7
31646,37.9,-17.2
31662,33.7,-16.4
31721,37.7,-20.2
32056,37.4,-10.4
32111,39.1,-12.4
32126,38.9,-17.8
32136,38.8,-19
32146,37,-22.4
32181,37.3,-15.8
32206,36,-18.7
32266,32.9,-17
32286,35.6,-14.7
32287,38.1,-19.3
32296,38.1,-14.4
32311,37.1,-17.2
32402,38.5,-24.6
32407,37.7,-16.4
32451,37.2,-13
32466,38.1,-16.7
32476,36.5,-17.6
32496,37.2,-16.1
32551,37.6,-17.6
32571,37.8,-14.9
32581,38,-19.6
32596,39.2,-16.4
32616,38.2,-8.7
32626,37.7,-13.9
32691,37.4,-18.6
32771,35.3,-15.5
33006,35.4,-14.2
33026,37,-23
33071,35.8,-18.2
33136,36.4,-21.7
33146,36.4,-17.7
33166,35,-20.8
33176,33.6,-21.5
33186,35.3,-23.2
33206,37.7,-20.4
33226,35.7,-22.2
33296,36.6,-21.6
33326,38.5,-17.1
33336,36.9,-17.1
33371,31.8,-27.6
33421,35.8,-20.8
33431,37.2,-20.6
33441,31.6,-24.1
33472,37.3,-17.3
33486,34.1,-22.1
33501,36.8,-16.9
33526,37.6,-17.7
33576,37.6,-18.2
33581,37.1,-17.4
33616,37.5,-16.7
33631,34.9,-22.9
33671,36.5,-22.5
33716,38.3,-17.4
33751,38.8,-12.9
33776,36.9,-19.9
33781,38.2,-18.9
33801,36.7,-15.4
33877,37,-11.6
33911,38.3,-15.2
33921,37,-18.3
34012,33.3,-15.5
34026,36.7,-12.6
